iter	RMSE
0	77009.74536
1	75653.84701
2	74197.32238
3	72826.37839
4	71586.0764
5	70255.78838
6	69077.52493
7	67824.31977
8	66649.30767
9	65431.69705
10	64336.01416
11	63311.99191
12	62270.85346
13	61182.16132
14	60105.64764
15	59213.90085
16	58254.55299
17	57328.18819
18	56438.70479
19	55545.38042
20	54618.12455
21	53820.3092
22	52999.32709
23	52225.58916
24	51480.19712
25	50726.1759
26	49974.65894
27	49259.83742
28	48628.87722
29	47870.00236
30	47182.27283
31	46508.10049
32	45882.32264
33	45254.33599
34	44654.13387
35	44095.86916
36	43486.96639
37	42954.0076
38	42421.29969
39	41906.34775
40	41440.38039
41	40968.32247
42	40475.69733
43	40016.32735
44	39653.53219
45	39148.42461
46	38702.43349
47	38287.14833
48	37858.16984
49	37457.77979
50	37114.6022
51	36715.66305
52	36361.09254
53	35939.83295
54	35602.39543
55	35198.48619
56	34849.53166
57	34505.71226
58	34133.02854
59	33870.48235
60	33538.06763
61	33222.58251
62	32931.65025
63	32697.8136
64	32417.73665
65	32127.56021
66	31852.07751
67	31577.37575
68	31331.9274
69	31104.40305
70	30849.53182
71	30607.36905
72	30375.76465
73	30143.83283
74	29934.63168
75	29681.02264
76	29502.47536
77	29317.89201
78	29112.73298
79	28909.4313
80	28730.39665
81	28522.71195
82	28326.28297
83	28154.71406
84	27947.32535
85	27788.06492
86	27625.04169
87	27423.49168
88	27276.6641
89	27117.87322
90	26960.46879
91	26830.46752
92	26685.62234
93	26524.92944
94	26393.71277
95	26218.70236
96	26064.99613
97	25924.24205
98	25764.35018
99	25603.54691
100	25464.19898
101	25320.59564
102	25188.71599
103	25084.15785
104	24966.17609
105	24871.26313
106	24755.26236
107	24655.29169
108	24560.79174
109	24426.96181
110	24307.8656
111	24207.76093
112	24108.23887
113	24013.10644
114	23920.62288
115	23825.67913
116	23728.02605
117	23616.13609
118	23527.48404
119	23409.54177
120	23345.25155
121	23262.85761
122	23194.50448
123	23110.40673
124	22990.56845
125	22882.343
126	22802.46717
127	22722.67925
128	22638.28147
129	22528.02675
130	22453.78832
131	22384.0875
132	22300.61704
133	22236.9887
134	22152.34072
135	22086.571
136	22012.72155
137	21939.2931
138	21876.09581
139	21823.40655
140	21755.60836
141	21676.81267
142	21620.1673
143	21529.97271
144	21470.33628
145	21403.26459
146	21346.28626
147	21288.54601
148	21234.66977
149	21165.55109
150	21109.3016
151	21036.20677
152	20981.54079
153	20916.04561
154	20835.52012
155	20783.16719
156	20721.99964
157	20648.73033
158	20588.271
159	20527.95039
160	20473.60378
161	20418.50543
162	20354.36874
163	20305.65316
164	20261.37122
165	20191.88164
166	20151.13139
167	20103.83128
168	20029.51713
169	19967.3682
170	19897.31112
171	19865.74656
172	19801.56576
173	19746.55105
174	19702.29863
175	19652.86751
176	19602.20659
177	19558.09156
178	19512.67317
179	19454.0746
180	19395.17831
181	19359.48683
182	19295.66779
183	19247.748
184	19209.84881
185	19170.75347
186	19123.09426
187	19089.59676
188	19042.32033
189	18992.32941
190	18951.0267
191	18926.02891
192	18869.26283
193	18843.93061
194	18803.16435
195	18766.67635
196	18726.9358
197	18698.52912
198	18652.41297
199	18615.42429
