iter	Passed	Remaining
0	5	1068
1	10	1024
2	14	957
3	18	919
4	23	916
5	27	897
6	32	887
7	37	890
8	41	884
9	46	881
10	50	873
11	55	864
12	59	858
13	64	851
14	68	843
15	72	834
16	76	828
17	81	821
18	85	816
19	90	810
20	94	804
21	98	796
22	102	789
23	107	785
24	111	781
25	116	778
26	120	773
27	126	774
28	130	768
29	134	763
30	139	758
31	143	754
32	148	749
33	153	747
34	157	742
35	161	736
36	165	730
37	170	725
38	175	722
39	180	720
40	184	715
41	188	710
42	192	704
43	197	699
44	202	696
45	206	692
46	211	689
47	216	685
48	221	682
49	226	679
50	231	676
51	236	674
52	242	671
53	247	669
54	251	664
55	256	659
56	261	654
57	265	650
58	270	646
59	275	641
60	279	636
61	283	631
62	287	626
63	292	620
64	296	615
65	301	611
66	305	607
67	310	602
68	314	597
69	319	593
70	323	588
71	328	583
72	332	578
73	337	573
74	341	569
75	345	564
76	350	559
77	354	554
78	358	549
79	363	544
80	367	539
81	371	534
82	376	530
83	380	525
84	384	520
85	388	515
86	393	510
87	398	507
88	403	503
89	408	499
90	413	495
91	418	491
92	423	486
93	428	482
94	433	478
95	438	475
96	443	471
97	448	466
98	452	461
99	457	457
100	461	452
101	466	447
102	470	442
103	474	437
104	478	432
105	482	428
106	487	424
107	492	419
108	496	414
109	501	409
110	505	405
111	509	400
112	514	395
113	518	391
114	523	386
115	527	381
116	531	377
117	536	372
118	540	367
119	544	362
120	547	357
121	551	352
122	555	347
123	559	343
124	564	338
125	568	334
126	573	329
127	577	324
128	581	320
129	586	315
130	591	311
131	596	307
132	601	303
133	606	298
134	611	294
135	616	290
136	621	285
137	626	281
138	631	277
139	637	273
140	642	268
141	648	264
142	652	260
143	658	255
144	663	251
145	668	247
146	673	242
147	679	238
148	685	234
149	690	230
150	695	225
151	701	221
152	705	216
153	710	212
154	714	207
155	719	202
156	724	198
157	729	193
158	733	189
159	738	184
160	743	180
161	749	175
162	754	171
163	760	166
164	764	162
165	769	157
166	775	153
167	780	148
168	784	143
169	789	139
170	793	134
171	797	129
172	803	125
173	808	120
174	815	116
175	821	111
176	827	107
177	832	102
178	837	98
179	842	93
180	847	88
181	852	84
182	856	79
183	862	74
184	867	70
185	872	65
186	876	60
187	881	56
188	886	51
189	891	46
190	895	42
191	897	37
192	901	32
193	904	27
194	908	23
195	913	18
196	917	13
197	922	9
198	928	4
199	933	0
